,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
15,51.0,91.0,44.0,73.0,40.0,42.0,82.0,93.0,74.0,81.0,68.0,85.0,42.0,76.0,86.0,,47.0,48.0,100.0,71.0,91.0,99.0,60.0,68.0,97.0,57.0,72.0,42.0,64.0,48.0,64.0,72.0,73.0,85.0,56.0,52.0,44.0,84.0,34.0,37.0,92.0,94.0,86.0,,46.0,76.0,99.0,99.0,85.0,40.0
16,72.0,93.0,48.0,75.0,46.0,48.0,87.0,97.0,77.0,85.0,71.0,87.0,45.0,77.0,90.0,,51.0,52.0,,75.0,92.0,100.0,63.0,48.0,97.0,63.0,73.0,45.0,68.0,51.0,48.0,76.0,75.0,91.0,60.0,58.0,46.0,90.0,40.0,40.0,82.0,98.0,89.0,,48.0,82.0,100.0,99.0,91.0,45.0
17,42.0,73.0,50.0,81.0,50.0,51.0,91.0,99.0,83.0,87.0,72.0,90.0,48.0,83.0,92.0,,57.0,58.0,,81.0,97.0,,65.0,52.0,97.0,69.0,77.0,49.0,72.0,57.0,52.0,42.0,80.0,97.0,66.0,64.0,50.0,91.0,45.0,46.0,88.0,98.0,73.0,,52.0,86.0,,99.0,92.0,47.0
18,44.0,76.0,85.0,87.0,56.0,72.0,92.0,99.0,88.0,88.0,75.0,91.0,50.0,85.0,93.0,,63.0,62.0,,85.0,98.0,,66.0,85.0,97.0,72.0,79.0,52.0,74.0,59.0,58.0,46.0,82.0,100.0,67.0,68.0,52.0,97.0,51.0,52.0,94.0,98.0,76.0,,56.0,92.0,,99.0,93.0,51.0
19,50.0,82.0,87.0,92.0,58.0,76.0,82.0,99.0,92.0,92.0,77.0,93.0,56.0,90.0,97.0,,67.0,66.0,,88.0,99.0,,48.0,90.0,97.0,76.0,83.0,34.0,77.0,65.0,82.0,52.0,85.0,,73.0,72.0,85.0,100.0,85.0,34.0,98.0,98.0,82.0,,60.0,82.0,,99.0,97.0,57.0
20,52.0,86.0,90.0,94.0,82.0,79.0,88.0,99.0,98.0,82.0,42.0,73.0,57.0,93.0,99.0,,73.0,72.0,,90.0,99.0,,85.0,93.0,99.0,81.0,89.0,38.0,83.0,68.0,86.0,58.0,87.0,,79.0,76.0,87.0,,89.0,38.0,99.0,98.0,86.0,,66.0,86.0,,99.0,100.0,82.0
21,34.0,92.0,93.0,98.0,88.0,81.0,92.0,100.0,98.0,84.0,44.0,77.0,62.0,99.0,99.0,,77.0,75.0,,94.0,99.0,,87.0,99.0,99.0,82.0,93.0,42.0,89.0,74.0,92.0,62.0,89.0,,82.0,42.0,90.0,,92.0,42.0,99.0,98.0,90.0,,48.0,89.0,,99.0,,88.0
22,35.0,82.0,97.0,98.0,94.0,84.0,82.0,,98.0,88.0,48.0,81.0,66.0,99.0,99.0,,83.0,81.0,,100.0,99.0,,93.0,99.0,99.0,86.0,99.0,45.0,92.0,80.0,93.0,68.0,92.0,,86.0,44.0,93.0,,73.0,44.0,99.0,98.0,91.0,,51.0,92.0,,99.0,,89.0
23,37.0,83.0,100.0,98.0,73.0,85.0,85.0,,100.0,89.0,72.0,85.0,68.0,100.0,99.0,,89.0,84.0,,,99.0,,97.0,99.0,99.0,92.0,99.0,49.0,93.0,82.0,97.0,74.0,93.0,,92.0,50.0,97.0,,74.0,46.0,99.0,98.0,93.0,,56.0,73.0,,100.0,,93.0
24,41.0,85.0,,98.0,75.0,87.0,88.0,,,91.0,76.0,89.0,71.0,,99.0,,73.0,86.0,,,99.0,,97.0,99.0,99.0,93.0,99.0,51.0,97.0,84.0,97.0,42.0,94.0,,82.0,72.0,97.0,,80.0,49.0,99.0,98.0,97.0,,59.0,42.0,,,,97.0
